,KODE_KEC,KODE_KK,KODE_PROV,KECAMATAN,KAB_KOTA,PROVINSI,FID
79,14.01.04,14.01,14,Xiii Koto Kampar,Kampar,Riau,14.01.04
80,14.01.01,14.01,14,Bangkinang Kota,Kampar,Riau,14.01.01
81,14.01.02,14.01,14,Kampar,Kampar,Riau,14.01.02
82,75.03.17,75.03,75,Bulawa,Bone Bolango,Gorontalo,75.03.17
83,75.03.18,75.03,75,Pinogu,Bone Bolango,Gorontalo,75.03.18
84,61.01.07,61.01,61,Selakau,Sambas,Kalimantan Barat,61.01.07
85,75.03.15,75.03,75,Bulango Selatan,Bone Bolango,Gorontalo,75.03.15
86,61.01.08,61.01,61,Paloh,Sambas,Kalimantan Barat,61.01.08
87,12.05.20,12.05,12,Sawit Seberang,Langkat,Sumatera Utara,12.05.20
88,75.03.16,75.03,75,Bulango Timur,Bone Bolango,Gorontalo,75.03.16
89,61.01.05,61.01,61,Pemangkat,Sambas,Kalimantan Barat,61.01.05
90,61.01.06,61.01,61,Sejangkung,Sambas,Kalimantan Barat,61.01.06
91,12.05.23,12.05,12,Pematang Jaya,Langkat,Sumatera Utara,12.05.23
92,61.01.09,61.01,61,Sajingan Besar,Sambas,Kalimantan Barat,61.01.09
93,12.05.21,12.05,12,Sirapit,Langkat,Sumatera Utara,12.05.21
94,12.05.22,12.05,12,Kutambaru,Langkat,Sumatera Utara,12.05.22
95,75.03.10,75.03,75,Bone Raya,Bone Bolango,Gorontalo,75.03.10
96,14.01.07,14.01,14,Kampar Kiri,Kampar,Riau,14.01.07
97,14.01.08,14.01,14,Kampar Kiri Hilir,Kampar,Riau,14.01.08
98,75.03.13,75.03,75,Suwawa Tengah,Bone Bolango,Gorontalo,75.03.13
99,14.01.05,14.01,14,Kuok,Kampar,Riau,14.01.05
100,75.03.14,75.03,75,Bulango Ulu,Bone Bolango,Gorontalo,75.03.14
101,14.01.06,14.01,14,Siak Hulu,Kampar,Riau,14.01.06
102,61.01.03,61.01,61,Jawai,Sambas,Kalimantan Barat,61.01.03
103,75.03.11,75.03,75,Suwawa Timur,Bone Bolango,Gorontalo,75.03.11
104,19.71.03,19.71,19,Pangkal Balam,Kota Pangkal Pinang,Kepulauan Bangka Belitung,19.71.03
105,61.01.04,61.01,61,Tebas,Sambas,Kalimantan Barat,61.01.04
106,75.03.12,75.03,75,Suwawa Selatan,Bone Bolango,Gorontalo,75.03.12
107,19.71.04,19.71,19,Rangkui,Kota Pangkal Pinang,Kepulauan Bangka Belitung,19.71.04
108,61.01.01,61.01,61,Sambas,Sambas,Kalimantan Barat,61.01.01
109,14.01.09,14.01,14,Kampar Kiri Hulu,Kampar,Riau,14.01.09
110,19.71.01,19.71,19,Bukitintan,Kota Pangkal Pinang,Kepulauan Bangka Belitung,19.71.01
111,61.01.02,61.01,61,Teluk Keramat,Sambas,Kalimantan Barat,61.01.02
112,19.71.02,19.71,19,Taman Sari,Kota Pangkal Pinang,Kepulauan Bangka Belitung,19.71.02
113,14.01.10,14.01,14,Tapung,Kampar,Riau,14.01.10
114,19.71.07,19.71,19,Girimaya,Kota Pangkal Pinang,Kepulauan Bangka Belitung,19.71.07
115,14.01.11,14.01,14,Tapung Hilir,Kampar,Riau,14.01.11
116,19.71.05,19.71,19,Gerunggang,Kota Pangkal Pinang,Kepulauan Bangka Belitung,19.71.05
117,19.71.06,19.71,19,Gabek,Kota Pangkal Pinang,Kepulauan Bangka Belitung,19.71.06
118,14.01.14,14.01,14,Rumbio Jaya,Kampar,Riau,14.01.14
119,14.01.15,14.01,14,Bangkinang,Kampar,Riau,14.01.15
120,14.01.12,14.01,14,Tapung Hulu,Kampar,Riau,14.01.12
121,14.01.13,14.01,14,Salo,Kampar,Riau,14.01.13
122,12.73.01,12.73,12,Sibolga Utara,Kota Sibolga,Sumatera Utara,12.73.01
123,61.01.18,61.01,61,Salatiga,Sambas,Kalimantan Barat,61.01.18
124,61.01.19,61.01,61,Selakau Timur,Sambas,Kalimantan Barat,61.01.19
125,61.01.16,61.01,61,Jawai Selatan,Sambas,Kalimantan Barat,61.01.16
126,61.01.17,61.01,61,Tangaran,Sambas,Kalimantan Barat,61.01.17
127,61.01.10,61.01,61,Subah,Sambas,Kalimantan Barat,61.01.10
128,14.01.18,14.01,14,Kampar Utara,Kampar,Riau,14.01.18
129,61.01.11,61.01,61,Galing,Sambas,Kalimantan Barat,61.01.11
130,14.01.19,14.01,14,Kampar Kiri Tengah,Kampar,Riau,14.01.19
131,14.01.16,14.01,14,Perhentian Raja,Kampar,Riau,14.01.16
132,14.01.17,14.01,14,Kampa,Kampar,Riau,14.01.17
133,61.01.14,61.01,61,Sajad,Sambas,Kalimantan Barat,61.01.14
134,61.01.15,61.01,61,Sebawi,Sambas,Kalimantan Barat,61.01.15
135,61.01.12,61.01,61,Tekarang,Sambas,Kalimantan Barat,61.01.12
136,61.01.13,61.01,61,Semparuk,Sambas,Kalimantan Barat,61.01.13
137,14.01.21,14.01,14,Koto Kampar Hulu,Kampar,Riau,14.01.21
138,14.01.20,14.01,14,Gunung Sahilan,Kampar,Riau,14.01.20
139,73.14.08,73.14,73,Watang Sidenreng,Sidenreng Rappang,Sulawesi Selatan,73.14.08
140,73.14.09,73.14,73,Dua Pitue,Sidenreng Rappang,Sulawesi Selatan,73.14.09
141,73.14.06,73.14,73,Kulo,Sidenreng Rappang,Sulawesi Selatan,73.14.06
142,73.14.07,73.14,73,Maritengngae,Sidenreng Rappang,Sulawesi Selatan,73.14.07
143,73.14.01,73.14,73,Panca Lautang,Sidenreng Rappang,Sulawesi Selatan,73.14.01
144,73.14.04,73.14,73,Baranti,Sidenreng Rappang,Sulawesi Selatan,73.14.04
145,73.14.05,73.14,73,Panca Rijang,Sidenreng Rappang,Sulawesi Selatan,73.14.05
146,73.14.02,73.14,73,Tellu Limpoe,Sidenreng Rappang,Sulawesi Selatan,73.14.02
147,73.14.03,73.14,73,Watang Pulu,Sidenreng Rappang,Sulawesi Selatan,73.14.03
148,32.18.09,32.18,32,Pangandaran,Pangandaran,Jawa Barat,32.18.09
149,32.18.07,32.18,32,Padaherang,Pangandaran,Jawa Barat,32.18.07
150,32.18.08,32.18,32,Kalipucang,Pangandaran,Jawa Barat,32.18.08
